Ligand_Name,Binding_Affinity_kcal_mol,Fingerprint_1024b,MolWeight,LogP,H_Donors,H_Acceptors,TPSA,fr_benzene,fr_Ar_OH,fr_NH2,fr_NH1,fr_amide,fr_COO,fr_Ar_N,fr_ester,fr_ketone,fr_sulfonamd
mol_250.pdbqt,-7.401,0100000000000000010000000000000001000000000000000000001000000000000000000010000010000000000000100000001000000000100001000000000010000000000000000001000000000000000000000001000000000000000000000001000000000000000000000000000000000000000000000000000000100000000000000000000000000000000100000000000000000000000000000000000000100000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000010000000100000000001000000000000000000000000000010000010000000000000000000000000000000010000010000000000000001000100100000001000000000000000000000010001000000000000000100000000000000010000100000000000000001000000000000000000000000000000100100000001000000000000000000000000000000000000000000010001000000000000000000000000000000000000000001000000000000000000001000000000000000000100000000000000000000000000000000000000010000,352.34300000000013,1.0547999999999997,1,7,120.3,1,0,0,1,1,0,0,1,0,0
mol_1562.pdbqt,-7.909,0100000000000001000000000000000001001000000000000000000000000000100000000000000010000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000100000000000000000000000000000000000000000000000100000000000000000100000000000000001000000000000000000000000100000000001000000100000000000010000000010000000000100000010000000000000010000000000000000000000000000000010000000001000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000010110000000000000000010000000000000001000000000000000000000000000000000000000000000000000000010000010000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000011000000000001000000000000000010000000000000000000000001000000000000000000000010000000000000000000000000000000000000000000000000000010000000000000100000000000001000000000000000010000000000000000000000000000000000000000000000010000,328.45200000000017,5.278200000000004,1,3,46.53,1,0,0,0,0,0,0,1,0,0
mol_297.pdbqt,-8.603,0100000000000001000000000000000001000000001000000000000000000000100000000100000010000000001010000000000000000000000000010000000010000000000000000000000000000000000000000010000100000100000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000100001100000000000000000000000010000000000000000000010000000100000000000010000100000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000001000000000000000000000000000000000000000100000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000010000000000000000000000000000000000000100000000000000000000000000100001000100000000001001000000100000001000000000001000000000000000000101000000000000001000000000000000100000001000000000000000001000000000000000000000000010000100000000000110000000000000000000000000000000000000000010000000000000000000000000100000000000010000000000000000000001100000000000001000000010000,756.908,6.932800000000007,6,7,179.57,4,0,0,4,4,0,4,0,0,0
mol_1272.pdbqt,-9.873,0110100000000000000000000000010001000000000000000010000000000001100000000100000010000010000000000000000010000000001001000000000010000000000010000001000000100000000000000000000100010000000000000000010000010000000000000000000000010000000000000000000000000000000000010010000000000000000100000100000000000100000000000000100000000000000000000000000000000000000010000000000000000001101000000000000010000000000001000001000000000000000000000000000000000000000000000000000000000000000000000000101000000000000000000001000000000000000000000000000000010000000000000000000000000000000001000000000000000000000000000000001000000000000000000000000000001000000000000010000000000000000000000000000010000000000000100000000000000000000000000000001000000000100000000010010000001000000010000000000000000000000000001000000000000001000000000000000000000001000000000000000001000001000000000000000000101000000000001010010000000000000000000000000000000011000000000000000000000000011000000000000000000000000000000000000000010100000000000100000000010000,609.8120000000004,3.8493000000000004,5,6,163.51,1,0,1,3,4,0,1,0,0,0
mol_1745.pdbqt,-9.449,0100000000000000000000000000000001011000011000000000000001000000100000000000000010000000001000000000000000000000001001000010010010001000000000000001100000000001000000010000000101000000000100000000010000000000000000000001000000010000000000000000000010100001000000000000000000000000000000000100000000000000000000000000000000100100100000000000000000000001001010000000000000000000001000000000010010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000001000001000000000000000001000000000010000000000000000001101001010001000000000000000000000010001000000010000000100000000000000101000000000000010000000000000000000000000000000000001000100000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000001001000000000001000000000001000000000000000000010000100000000000000100000000000010000000010000000000000000000000000000000000000000000000000000000000000010001000000000001000010000,712.983,2.3853000000000026,6,9,151.89999999999998,2,0,0,5,4,0,0,0,0,0
mol_675.pdbqt,-9.906,0101000000001000000100000000000001000000001000000000000101000101100000000010000110000000010000000000000000000000001000000000000010000000000000000000000000000001000000000000000100000100000000000000000000000000000010000000000000010001010000000000000000000000011000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000001010000000100000010000001000000001010010000000000000000000000000000000000010000000010010000000100000001000000000000000000000000000000001000000000000000000000000000000000000000001000000000000000000000000010000000000000001000000100001000000000000000001000100000000000000000000000000001000000000000010000010100000000000000000000010101000010000000000000000000001000000000000001000110000000101000000000000000000000000010000000000000000000000000000000000000001000000000000000000000001000000000010000001000100010000001000000001010000001000100000010000100000000000100000000000000010000001010000000000000000000000000000000000000000000000000000000000000010000000100000001000010000,653.8240000000002,3.613100000000002,4,8,131.17,2,0,0,2,2,0,1,0,0,0
mol_850.pdbqt,-10.317,0100000000000000000000000000000000000000001000000000000000000000100000000000000110000000000000000000001000000000000001000000000010000000000000000000000000000000000000000000000100000000000000000000000000000000100000000000000000010000000000000000000000001000000000000000000000000000010000000000000000000100001000000000000000000000000000000000000000000000000010011000000000000001000000000000010000000000000000000000000000000000000000000000000100000000000000000001000000000000000000000010010000000000000000000000000000000000000000000000000000000100000000010000000000000000000000000000000001000000000000000000001000000000000000100000000000000000000000000010000010000000000000000000000010000100000000010000000000000000000000000000001000100010000000001001000000000000000000000000000000000000000000000000001000100001000000000000000000000000000001000000000001000000010000000000000000000000000000001000010000010000000000010000000000001010000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000010000,596.6770000000001,2.9352,3,9,133.81,2,0,0,2,2,0,0,0,0,0
mol_1222.pdbqt,-10.371,1101000000000000000000001000000001001100011000000000000000000000100000000000000110000000001000000000000000000000001001000010000010000000000000000000000000000000000000001000000100000000000000000000000010000000000000000000010000010000000000000000000000000000000000001000000000010000000000100000000000000100000000000010000000001000000000000000000000000000100010000000000000010001001000000000010010000000000000000000000000000000000001000000000000000001000000000000000000000000100000000000000000000000000000000000000000000000000000010000000000000000000000000000001000000000000000000010000000000000000000000100000000000000000000000000000000000001000000100010000010000000000000000000000000000000000000000001000000001010000000000000001000100000000000000001001010000000000000000000000001000000000000000000000000000001000000000000000000000100000001000000000001000000010000000000010000000010000000001000010000000000000000000000000000000000100000000000000000000100000000000000000000000000000000000000000010000100000000000000000000010000,607.7510000000003,5.726000000000005,4,6,120.25,3,0,0,2,2,0,0,0,0,0
mol_180.pdbqt,-9.178,0100100010000000000000010000000001001000000000000000000000000000000000010000000010000000000000000000000001000000000000000000000000000000001000001000000000010000010000000000000000000100000000000000000000100000000000000000000000000000000000000001000000110000000000000000000000000000000100000000000000000100000010000000000000000000000000000000000000010000000010000100001000000000000000000000011000000000010000000000000000000000000000000000000000000000000001001000000000000000000000010000000010000000000000000000000000000001001000001111000000000000000000000000100001100000000000000010000000000000000000000000000000000000000000100000000000000000000000000010000000010000000001000000000100000000010000100000000000000000000000000000000000000000001100000000000001000000000000000000000000000000100000000000000000000001000000000000000000000000000000000000000001000000000000000000000000010000000000000000011000000000100010000000000000000011000000000000000010000000000010000000000100000000000000000000000000100000000000000000000000010000,719.6929999999999,10.943199999999988,4,4,115.06,2,2,0,0,0,2,0,0,0,0
mol_782.pdbqt,-9.367,0100100000000000000000000000000001000000001000000000000000000000100000000000000110000010000000000000000000000000001001000000000010000000000010000001000000000001000000000000000100000000000000000000000000000000000000000000000000010000000000100000000000000000000000010010000000000000000000000000000000000100000000000000000000000000000000000000000000000000001010000000000000000001100000000000010010000000000000000000000000000000000000000000000000000011000000001000000000000000000000000000000000000000000000000000000000000000000000000001000000010000000000000000000000000000000001000000010000000000000000000001000000001000000000000000000000001000000000000010000000100000000000000000000000000000011000010000000000000000000000000000001000100010100000000101000000000000000000000000000000000000000000000000000000000001000000000000000000000000000001000000000001000000010000000000000001100000000000001010010000100000010000000000000000000010000000010000000000000000010000000000000000000000000000000000000000000010000000000000000000110000,581.7140000000004,1.6243000000000032,5,7,163.09,2,0,1,3,4,0,0,0,0,0
