Ligand_Name,Binding_Affinity_kcal_mol
mol_250.pdbqt,-7.401
mol_1562.pdbqt,-7.909
mol_297.pdbqt,-8.603
mol_1272.pdbqt,-9.873
mol_1745.pdbqt,-9.449
mol_675.pdbqt,-9.906
mol_850.pdbqt,-10.317
mol_1222.pdbqt,-10.371
mol_180.pdbqt,-9.178
mol_782.pdbqt,-9.367
mol_490.pdbqt,-9.661
mol_1164.pdbqt,-9.777
mol_560.pdbqt,-10.075
mol_167.pdbqt,-9.627
mol_832.pdbqt,-9.504
mol_562.pdbqt,-9.321
mol_230.pdbqt,-10.269
mol_1584.pdbqt,-11.957
mol_571.pdbqt,-10.435
mol_734.pdbqt,-9.277
mol_223.pdbqt,-10.3
mol_610.pdbqt,-9.144
mol_1856.pdbqt,-9.781
mol_909.pdbqt,-8.994
mol_20.pdbqt,-10.038
mol_1611.pdbqt,-8.626
mol_1137.pdbqt,-9.68
mol_1765.pdbqt,-6.447
mol_1381.pdbqt,-9.906
mol_1065.pdbqt,-10.672
mol_1232.pdbqt,-9.465
mol_1704.pdbqt,-10.26
mol_1419.pdbqt,-9.214
mol_1995.pdbqt,-8.054
mol_1777.pdbqt,-8.283
mol_1758.pdbqt,-10.351
mol_1495.pdbqt,-9.893
mol_534.pdbqt,-9.156
mol_277.pdbqt,-10.107
mol_62.pdbqt,-9.419
mol_979.pdbqt,-10.027
mol_1353.pdbqt,-9.816
mol_525.pdbqt,-8.592
mol_1002.pdbqt,-10.011
mol_1969.pdbqt,-9.838
mol_873.pdbqt,-9.648
mol_1285.pdbqt,-9.596
mol_497.pdbqt,-9.905
mol_1046.pdbqt,-10.342
mol_390.pdbqt,-9.091
mol_1654.pdbqt,-10.075
mol_1869.pdbqt,-10.108
mol_1284.pdbqt,-12.144
mol_681.pdbqt,-10.097
mol_1427.pdbqt,-9.818
mol_1727.pdbqt,-9.958
mol_1741.pdbqt,-11.18
mol_1534.pdbqt,-8.352
mol_1131.pdbqt,-9.459
mol_329.pdbqt,-9.344
mol_585.pdbqt,-10.214
mol_559.pdbqt,-9.656
mol_1796.pdbqt,-10.528
mol_1711.pdbqt,-9.224
mol_543.pdbqt,-10.671
mol_628.pdbqt,-10.101
mol_537.pdbqt,-8.885
mol_776.pdbqt,-9.36
mol_150.pdbqt,-9.496
mol_1195.pdbqt,-7.96
mol_712.pdbqt,-9.054
mol_1667.pdbqt,-8.469
mol_553.pdbqt,-8.75
mol_21.pdbqt,-9.321
mol_1120.pdbqt,-12.094
mol_1715.pdbqt,-9.744
mol_435.pdbqt,-7.228
mol_1320.pdbqt,-9.108
mol_1487.pdbqt,-9.48
mol_196.pdbqt,-9.022
mol_1896.pdbqt,-10.468
mol_1109.pdbqt,-10.089
mol_24.pdbqt,-8.699
mol_1737.pdbqt,-9.074
mol_1491.pdbqt,-9.968
mol_39.pdbqt,-9.1
mol_8.pdbqt,-9.301
mol_26.pdbqt,-9.744
mol_1213.pdbqt,-6.459
mol_583.pdbqt,-10.059
mol_1953.pdbqt,-9.5
mol_313.pdbqt,-9.006
mol_881.pdbqt,-8.363
mol_691.pdbqt,-10.201
mol_1800.pdbqt,-9.754
mol_996.pdbqt,-8.717
mol_457.pdbqt,-9.165
mol_1182.pdbqt,-10.293
mol_86.pdbqt,-9.182
mol_1691.pdbqt,-10.158
mol_1827.pdbqt,-10.376
mol_1129.pdbqt,-11.219
mol_1613.pdbqt,-9.77
mol_1298.pdbqt,-9.324
mol_1418.pdbqt,-9.693
mol_1425.pdbqt,-10.116
mol_707.pdbqt,-8.91
mol_212.pdbqt,-9.872
mol_352.pdbqt,-7.709
mol_1567.pdbqt,-10.215
mol_1713.pdbqt,-9.413
mol_445.pdbqt,-7.339
mol_100.pdbqt,-9.945
mol_1016.pdbqt,-8.698
mol_489.pdbqt,-10.723
mol_1837.pdbqt,-8.68
mol_284.pdbqt,-9.149
mol_514.pdbqt,-8.813
mol_1844.pdbqt,-10.49
mol_1386.pdbqt,-9.624
mol_1823.pdbqt,-9.0
mol_1707.pdbqt,-10.851
mol_367.pdbqt,-9.856
mol_956.pdbqt,-9.176
mol_744.pdbqt,-9.04
mol_111.pdbqt,-9.974
mol_1367.pdbqt,-9.182
mol_1123.pdbqt,-8.971
mol_817.pdbqt,-9.297
mol_1730.pdbqt,-10.751
mol_1878.pdbqt,-10.744
mol_615.pdbqt,-9.817
mol_299.pdbqt,-9.766
mol_1149.pdbqt,-9.434
mol_1020.pdbqt,-9.92
mol_189.pdbqt,-10.68
mol_1640.pdbqt,-9.378
mol_1539.pdbqt,-8.446
mol_195.pdbqt,-9.788
mol_588.pdbqt,-9.358
mol_274.pdbqt,-11.6
mol_452.pdbqt,-8.813
mol_405.pdbqt,-9.157
mol_77.pdbqt,-8.565
mol_1694.pdbqt,-9.025
mol_1697.pdbqt,-11.002
mol_365.pdbqt,-10.908
mol_1494.pdbqt,-10.077
mol_1786.pdbqt,-8.591
mol_283.pdbqt,-9.252
mol_417.pdbqt,-9.836
mol_262.pdbqt,-9.466
mol_7.pdbqt,-9.911
mol_962.pdbqt,-9.348
mol_286.pdbqt,-4.028
mol_394.pdbqt,-9.95
mol_110.pdbqt,-8.62
mol_45.pdbqt,-9.559
mol_419.pdbqt,-10.963
mol_1435.pdbqt,-8.149
mol_1859.pdbqt,-10.073
mol_932.pdbqt,-9.755
mol_1866.pdbqt,-10.154
mol_1568.pdbqt,-9.371
mol_1042.pdbqt,-8.3
mol_1259.pdbqt,-9.128
mol_1642.pdbqt,-10.441
mol_1256.pdbqt,-10.081
mol_317.pdbqt,-8.626
mol_1521.pdbqt,-9.545
mol_1886.pdbqt,-8.804
mol_1825.pdbqt,-8.591
mol_1410.pdbqt,-10.051
mol_1198.pdbqt,-9.53
mol_1850.pdbqt,-10.437
mol_316.pdbqt,-10.62
mol_1660.pdbqt,-9.857
mol_65.pdbqt,-9.941
mol_1658.pdbqt,-10.376
mol_1698.pdbqt,-9.727
mol_493.pdbqt,-10.061
mol_1757.pdbqt,-10.245
mol_1799.pdbqt,-9.46
mol_320.pdbqt,-9.495
mol_358.pdbqt,-10.01
mol_347.pdbqt,-9.47
mol_1854.pdbqt,-8.928
mol_1959.pdbqt,-9.097
mol_1802.pdbqt,-9.986
mol_1915.pdbqt,-8.404
mol_290.pdbqt,-9.512
mol_1469.pdbqt,-6.872
mol_1017.pdbqt,-9.836
mol_43.pdbqt,-10.112
mol_1984.pdbqt,-9.412
mol_112.pdbqt,-9.513
mol_143.pdbqt,-12.398
mol_259.pdbqt,-9.959
mol_596.pdbqt,-10.123
mol_713.pdbqt,-5.753
mol_690.pdbqt,-10.677
mol_488.pdbqt,-8.735
mol_643.pdbqt,-9.473
mol_1740.pdbqt,-9.905
mol_1779.pdbqt,-9.855
mol_443.pdbqt,-11.363
mol_1054.pdbqt,-8.932
mol_1519.pdbqt,-8.873
mol_169.pdbqt,-10.485
mol_204.pdbqt,-10.672
mol_1070.pdbqt,-9.224
mol_420.pdbqt,-9.378
mol_624.pdbqt,-9.463
mol_1612.pdbqt,-9.229
mol_1421.pdbqt,-10.015
mol_1731.pdbqt,-10.217
mol_1103.pdbqt,-8.994
mol_1785.pdbqt,-9.651
mol_141.pdbqt,-9.74
mol_98.pdbqt,-9.024
mol_916.pdbqt,-10.74
mol_1304.pdbqt,-11.605
mol_887.pdbqt,-10.074
mol_1484.pdbqt,-7.184
mol_176.pdbqt,-9.381
mol_227.pdbqt,-10.589
mol_1243.pdbqt,-10.675
mol_1548.pdbqt,-9.252
mol_1428.pdbqt,-10.032
mol_1893.pdbqt,-7.717
mol_705.pdbqt,-10.563
mol_255.pdbqt,-10.004
mol_940.pdbqt,-10.598
mol_408.pdbqt,-11.013
mol_1335.pdbqt,-8.535
mol_1723.pdbqt,-10.444
mol_1797.pdbqt,-9.511
mol_188.pdbqt,-5.092
mol_476.pdbqt,-10.132
mol_431.pdbqt,-10.311
mol_397.pdbqt,-10.585
mol_1352.pdbqt,-9.729
mol_738.pdbqt,-9.686
mol_95.pdbqt,-9.494
mol_1907.pdbqt,-8.597
mol_363.pdbqt,-10.043
mol_44.pdbqt,-10.223
mol_155.pdbqt,-8.139
mol_1773.pdbqt,-11.444
mol_293.pdbqt,-10.764
mol_1767.pdbqt,-9.575
mol_1122.pdbqt,-10.622
mol_1884.pdbqt,-10.38
mol_1184.pdbqt,-11.128
mol_864.pdbqt,-9.662
mol_1532.pdbqt,-10.08
mol_310.pdbqt,-9.265
mol_1965.pdbqt,-9.235
mol_877.pdbqt,-8.681
mol_1935.pdbqt,-9.286
mol_894.pdbqt,-9.825
mol_1066.pdbqt,-9.083
mol_1453.pdbqt,-9.651
mol_108.pdbqt,-9.892
mol_575.pdbqt,-9.007
mol_737.pdbqt,-8.948
mol_1508.pdbqt,-10.025
mol_225.pdbqt,-9.401
mol_1724.pdbqt,-8.96
mol_1156.pdbqt,-9.859
mol_1251.pdbqt,-9.74
mol_1391.pdbqt,-10.953
mol_735.pdbqt,-9.249
mol_432.pdbqt,-6.548
mol_1588.pdbqt,-8.859
mol_324.pdbqt,-10.599
mol_1939.pdbqt,-10.266
mol_1845.pdbqt,-9.387
mol_341.pdbqt,-10.729
mol_278.pdbqt,-8.185
mol_1005.pdbqt,-10.057
mol_1165.pdbqt,-10.352
mol_1621.pdbqt,-9.641
mol_829.pdbqt,-8.706
mol_946.pdbqt,-11.395
mol_644.pdbqt,-9.072
mol_462.pdbqt,-10.431
mol_1348.pdbqt,-10.65
mol_22.pdbqt,-9.883
mol_1346.pdbqt,-9.418
mol_1524.pdbqt,-10.675
mol_1926.pdbqt,-10.726
mol_1210.pdbqt,-10.544
mol_1619.pdbqt,-9.67
mol_1947.pdbqt,-8.962
mol_813.pdbqt,-8.371
mol_478.pdbqt,-9.648
mol_1937.pdbqt,-9.18
mol_273.pdbqt,-11.225
mol_114.pdbqt,-10.43
mol_464.pdbqt,-10.136
mol_1461.pdbqt,-10.445
mol_127.pdbqt,-9.329
mol_1696.pdbqt,-8.896
mol_679.pdbqt,-10.05
mol_137.pdbqt,-9.766
mol_1125.pdbqt,-10.898
mol_1978.pdbqt,-9.86
mol_183.pdbqt,-9.786
mol_1518.pdbqt,-9.83
mol_213.pdbqt,-10.652
mol_439.pdbqt,-7.39
mol_1309.pdbqt,-10.017
mol_1074.pdbqt,-6.664
mol_806.pdbqt,-8.473
mol_203.pdbqt,-10.574
mol_1157.pdbqt,-11.525
mol_1671.pdbqt,-7.619
mol_233.pdbqt,-10.173
mol_942.pdbqt,-9.696
mol_186.pdbqt,-9.324
mol_1445.pdbqt,-7.978
mol_1726.pdbqt,-7.435
mol_1.pdbqt,-9.402
mol_1687.pdbqt,-8.908
mol_1025.pdbqt,-8.401
mol_796.pdbqt,-8.761
mol_1328.pdbqt,-8.734
mol_1899.pdbqt,-9.894
mol_4.pdbqt,-8.833
mol_524.pdbqt,-9.14
mol_1370.pdbqt,-10.089
mol_480.pdbqt,-9.048
mol_714.pdbqt,-9.577
mol_1636.pdbqt,-9.25
mol_1925.pdbqt,-9.525
mol_475.pdbqt,-8.584
mol_654.pdbqt,-10.359
mol_467.pdbqt,-11.233
mol_437.pdbqt,-11.067
mol_303.pdbqt,-9.519
mol_1287.pdbqt,-9.264
mol_496.pdbqt,-8.737
mol_498.pdbqt,-10.242
mol_1903.pdbqt,-8.962
mol_292.pdbqt,-10.017
mol_483.pdbqt,-8.973
mol_1174.pdbqt,-10.071
mol_950.pdbqt,-8.967
mol_1385.pdbqt,-11.207
